Site,Google hits,FB likes,Twitter
The Last Great Stand,237000000,"119,303","72,600"
The Constitution,182000000,"948,593","2,193"
The European Union Times,129000000,348,988
USA Supreme,86500000,"42,633",0
TakePart,80000000,"681,116","96,500"
DailyOccupation,74000000,0,0
The American Conservative,69900000,"52,069","21,200"
The Root,66700000,"889,604","288,000"
Online Conservative Press,48800000,"162,617",0
Hot Air,45100000,"828,052","13,100"
Fox News,19400000,"13,999,658","11,900,000"
The New Civil Rights Movement,31000000,"369,974","7,135"
Big Government News,28900000,0,0
Knox Report,26800000,"7,879",0
Move On,25100000,"1,013,838","191,155"
Anti-War,26100000,"64,690","33,000"
American Lookout,21500000,0,"1,409"
Red Pepper,21100000,"12,909",0
Power Line,20400000,"9,863","6,890"
Townhall,18600000,"1,274,178","91,200"
